Name,Sets Sets Played,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve 0,Serve 1,Serve 2,Serve 3,Serve ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Perfect PP%,Good GP%,Set Ast,Set TA,Set SE,Set A/S,Set PCT,Dig DS,Dig DE,Attack K,Attack E,Attack TA,Attack Atk%,Attack Atk% FBSO,Attack Atk% Trans,Attack Kill%,Attack K/S,Attack Error%,Attack ?,Block BS,Block BA,Block BE,Block B/S
"Samuel Fafchamps",1,0,0,3,1,0,2.67,,,1,2,0,,,,,,,,,,,,,,,,,1,0,1,1,1,0,1,1,0,0,,,,
"Renet Vancker",1,0,0,1,1,0,3,,,,1,0,,,,,,,,,,2,3,0,2,0.67,,,,,,,,,,,,,,,,
"Jolan Cox",1,1,0,4,1,0.25,1.5,1,1,1,1,0,,,,,,,,,,,,,,,,,6,2,12,0.33,0.75,-0.5,0.5,6,0.17,0,,,,
"Landon Douglas Currie",1,,,,,,,,,,,,3,3,2,,8,0,2.12,0.38,0.75,0,1,0,0,0,2,1,,,,,,,,,,,,,,
"Dawid Pawlun",1,0,0,2,1,0,3,,,,1,0,,,,,,,,,,8,17,0,8,0.47,2,0,,,,,,,,,,,1,0,0,1
"Miquel Angel Fornés",1,0,0,4,1,0,2,,1,2,1,0,,,,,,,,,,,,,,,,,2,1,3,0.33,0.33,0,0.67,2,0.33,0,,,,
"Hampus Ekstrand",1,1,1,4,0.75,0,1.5,1,1,1,1,0,,1,1,,2,0,1.5,0,0.5,,,,,,3,0,0,1,2,-0.5,-0.5,0,0,0,0.5,0,1,0,0,1
"Alex Saaremaa",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,,,,
"Pierre Perin",1,0,1,2,0.5,-0.5,2.5,,,1,1,0,6,1,,2,9,0,2.22,0.67,0.78,0,2,0,0,0,1,0,1,3,5,-0.4,-0.67,0,0.2,1,0.6,0,,,,
"Greenyard Maaseik",1,3,5,25,0.8,-0.08,2.2,3,3,5,14,0,6,6,3,1,17,1,2.06,0.38,0.75,12,23,0,12,0.52,8,0,13,3,24,0.42,0.67,0,0.54,13,0.12,0,,,,
"Lindemans Aalst",1,2,2,20,0.9,0,2.05,2,3,6,8,0,9,5,3,2,19,0,2.11,0.47,0.74,10,23,0,10,0.43,8,1,10,7,24,0.12,0.28,-0.33,0.42,10,0.29,0,2,0,0,2